COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share,periodo_id
Chile,JAN2010,January 2010,2010,1,January,Hydro,2277.808,1,21641.001,,0.4764879003081534,1
Chile,JAN2010,January 2010,2010,1,January,Wind,21.126,2,332.001,,0.0044192852873947,1
Chile,JAN2010,January 2010,2010,1,January,Coal,1287.305,8,15974.071,,0.2692875152366606,1
Chile,JAN2010,January 2010,2010,1,January,Oil,382.032,9,8022.08,,0.0799161411016751,1
Chile,JAN2010,January 2010,2010,1,January,Natural gas,645.119,10,10124.676,,0.1349505304041849,1
Chile,JAN2010,January 2010,2010,1,January,Combustible renewables,157.687,11,2128.172,,0.0329860758834334,1
Chile,FEB2010,February 2010,2010,2,February,Hydro,1741.263,1,21641.001,,0.3961060985438645,2
Chile,FEB2010,February 2010,2010,2,February,Wind,15.111,2,332.001,,0.0034374814459942,2
Chile,FEB2010,February 2010,2010,2,February,Coal,1200.646,8,15974.071,,0.2731254283771588,2
Chile,FEB2010,February 2010,2010,2,February,Oil,884.171,9,8022.08,,0.2011330426567539,2
Chile,FEB2010,February 2010,2010,2,February,Natural gas,384.781,10,10124.676,,0.0875307754795265,2
Chile,FEB2010,February 2010,2010,2,February,Combustible renewables,160.646,11,2128.172,,0.036544083407663,2
Chile,MAR2010,March 2010,2010,3,March,Hydro,1580.975,1,21641.001,,0.3535800829058882,3
Chile,MAR2010,March 2010,2010,3,March,Wind,14.935,2,332.001,,0.0033401657446825,3
Chile,MAR2010,March 2010,2010,3,March,Coal,1263.893,8,15974.071,,0.282665691566389,3
Chile,MAR2010,March 2010,2010,3,March,Oil,507.07,9,8022.08,,0.1134046095852804,3
Chile,MAR2010,March 2010,2010,3,March,Natural gas,946.21,10,10124.676,,0.2116168884684328,3
Chile,MAR2010,March 2010,2010,3,March,Combustible renewables,148.919,11,2128.172,,0.0333052656533227,3
Chile,APR2010,April 2010,2010,4,April,Hydro,1740.416,1,21641.001,,0.3807497796445128,4
Chile,APR2010,April 2010,2010,4,April,Wind,20.359,2,332.001,,0.0044539263967825,4
Chile,APR2010,April 2010,2010,4,April,Coal,1154.644,8,15974.071,,0.252600785425932,4
Chile,APR2010,April 2010,2010,4,April,Oil,748.172,9,8022.08,,0.1636771462318172,4
Chile,APR2010,April 2010,2010,4,April,Natural gas,745.274,10,10124.676,,0.1630431524846844,4
Chile,APR2010,April 2010,2010,4,April,Combustible renewables,152.826,11,2128.172,,0.0334336536919634,4
Chile,MAY2010,May 2010,2010,5,May,Hydro,1839.581,1,21641.001,,0.3889400428650351,5
Chile,MAY2010,May 2010,2010,5,May,Wind,15.092,2,332.001,,0.0031908804923072,5
Chile,MAY2010,May 2010,2010,5,May,Coal,1500.755,8,15974.071,,0.3173025346695339,5
Chile,MAY2010,May 2010,2010,5,May,Oil,348.969,9,8022.08,,0.0737820285263701,5
Chile,MAY2010,May 2010,2010,5,May,Natural gas,866.73,10,10124.676,,0.1832515139873764,5
Chile,MAY2010,May 2010,2010,5,May,Combustible renewables,149.268,11,2128.172,,0.0315595248691838,5
Chile,JUN2010,June 2010,2010,6,June,Hydro,1649.965,1,21641.001,,0.3373024796551182,6
Chile,JUN2010,June 2010,2010,6,June,Wind,18.945,2,332.001,,0.0038729278966924,6
Chile,JUN2010,June 2010,2010,6,June,Coal,1484.813,8,15974.071,,0.3035404428119112,6
Chile,JUN2010,June 2010,2010,6,June,Oil,752.733,9,8022.08,,0.1538812686440234,6
Chile,JUN2010,June 2010,2010,6,June,Natural gas,819.433,10,10124.676,,0.1675167550894913,6
Chile,JUN2010,June 2010,2010,6,June,Combustible renewables,156.426,11,2128.172,,0.0319781799508059,6
Chile,JUL2010,July 2010,2010,7,July,Hydro,1754.004,1,21641.001,,0.3381052194922418,7
Chile,JUL2010,July 2010,2010,7,July,Wind,24.16,2,332.001,,0.0046571285486991,7
Chile,JUL2010,July 2010,2010,7,July,Coal,1459.547,8,15974.071,,0.2813451159713679,7
Chile,JUL2010,July 2010,2010,7,July,Oil,991.32,9,8022.08,,0.1910887695735296,7
Chile,JUL2010,July 2010,2010,7,July,Natural gas,770.437,10,10124.676,,0.1485109332646586,7
Chile,JUL2010,July 2010,2010,7,July,Combustible renewables,178.945,11,2128.172,,0.0344937859332357,7
Chile,AUG2010,August 2010,2010,8,August,Hydro,1498.787,1,21641.001,,0.2905757299692845,8
Chile,AUG2010,August 2010,2010,8,August,Wind,20.083,2,332.001,,0.0038935701904094,8
Chile,AUG2010,August 2010,2010,8,August,Coal,1476.771,8,15974.071,,0.2863074014669665,8
Chile,AUG2010,August 2010,2010,8,August,Oil,1131.87,9,8022.08,,0.2194400882048844,8
Chile,AUG2010,August 2010,2010,8,August,Natural gas,869.743,10,10124.676,,0.1686204958480928,8
Chile,AUG2010,August 2010,2010,8,August,Combustible renewables,151.404,11,2128.172,,0.0293532889064754,8
Chile,SEP2010,September 2010,2010,9,September,Hydro,1705.578,1,21641.001,,0.3496322930258158,9
Chile,SEP2010,September 2010,2010,9,September,Wind,109.861,2,332.001,,0.0225207837718997,9
Chile,SEP2010,September 2010,2010,9,September,Coal,953.081,8,15974.071,,0.1953753481044769,9
Chile,SEP2010,September 2010,2010,9,September,Oil,1014.763,9,8022.08,,0.2080197531674048,9
Chile,SEP2010,September 2010,2010,9,September,Natural gas,942.609,10,10124.676,,0.1932286568522643,9
Chile,SEP2010,September 2010,2010,9,September,Combustible renewables,142.98,11,2128.172,,0.0293099613484878,9
Chile,OCT2010,October 2010,2010,10,October,Hydro,1979.66,1,21641.001,,0.3966278438893194,10
Chile,OCT2010,October 2010,2010,10,October,Wind,23.519,2,332.001,,0.0047120668500817,10
Chile,OCT2010,October 2010,2010,10,October,Coal,1385.451,8,15974.071,,0.2775771814070605,10
Chile,OCT2010,October 2010,2010,10,October,Oil,603.158,9,8022.08,,0.1208436080259206,10
Chile,OCT2010,October 2010,2010,10,October,Natural gas,786.13,10,10124.676,,0.1575023220738463,10
Chile,OCT2010,October 2010,2010,10,October,Combustible renewables,203.976,11,2128.172,,0.0408668968838931,10
Chile,NOV2010,November 2010,2010,11,November,Hydro,2010.61,1,21641.001,,0.4065655171632844,11
Chile,NOV2010,November 2010,2010,11,November,Wind,25.229,2,332.001,,0.0051015569566014,11
Chile,NOV2010,November 2010,2010,11,November,Coal,1364.775,8,15974.071,,0.2759711996292276,11
Chile,NOV2010,November 2010,2010,11,November,Oil,170.287,9,8022.08,,0.0344337401192594,11
Chile,NOV2010,November 2010,2010,11,November,Natural gas,1124.149,10,10124.676,,0.2273142079038644,11
Chile,NOV2010,November 2010,2010,11,November,Combustible renewables,240.969,11,2128.172,,0.048726349767145,11
Chile,DEC2010,December 2010,2010,12,December,Hydro,1862.354,1,21641.001,,0.3491882541299787,12
Chile,DEC2010,December 2010,2010,12,December,Wind,23.581,2,332.001,,0.0044213979837555,12
Chile,DEC2010,December 2010,2010,12,December,Coal,1442.39,8,15974.071,,0.2704457078914857,12
Chile,DEC2010,December 2010,2010,12,December,Oil,487.535,9,8022.08,,0.0914119955052901,12
Chile,DEC2010,December 2010,2010,12,December,Natural gas,1224.061,10,10124.676,,0.2295093862598602,12
Chile,DEC2010,December 2010,2010,12,December,Combustible renewables,284.126,11,2128.172,,0.0532731488712319,12
Chile,JAN2011,January 2011,2011,1,January,Hydro,1896.733,1,20937.001,2277.808,0.3638760460271113,13
Chile,JAN2011,January 2011,2011,1,January,Wind,28.383,2,338.001,21.126,0.005445096286292,13
Chile,JAN2011,January 2011,2011,1,January,Coal,1356.818,8,18534.705,1287.305,0.2602968203845313,13
Chile,JAN2011,January 2011,2011,1,January,Oil,335.836,9,6003.775,382.032,0.0644279800022253,13
Chile,JAN2011,January 2011,2011,1,January,Natural gas,1267.7,10,12960.784,645.119,0.2432001043629066,13
Chile,JAN2011,January 2011,2011,1,January,Combustible renewables,327.11,11,4414.735,157.687,0.0627539529369333,13
Chile,FEB2011,February 2011,2011,2,February,Hydro,1470.305,1,20937.001,4019.071,0.3072395488652988,14
Chile,FEB2011,February 2011,2011,2,February,Wind,18.898,2,338.001,36.237,0.0039489854108204,14
Chile,FEB2011,February 2011,2011,2,February,Coal,1216.822,8,18534.705,2487.951,0.2542709453680499,14
Chile,FEB2011,February 2011,2011,2,February,Oil,529.6,9,6003.775,1266.203,0.1106668786945989,14
Chile,FEB2011,February 2011,2011,2,February,Natural gas,1216.66,10,12960.784,1029.9,0.2542370933394462,14
Chile,FEB2011,February 2011,2011,2,February,Combustible renewables,333.248,11,4414.735,318.333,0.0696365483217856,14
Chile,MAR2011,March 2011,2011,3,March,Hydro,1277.178,1,20937.001,5600.046,0.235173996216749,15
Chile,MAR2011,March 2011,2011,3,March,Wind,29.798,2,338.001,51.172,0.0054868739825354,15
Chile,MAR2011,March 2011,2011,3,March,Coal,1416.557,8,18534.705,3751.844,0.2608386384347438,15
Chile,MAR2011,March 2011,2011,3,March,Oil,1035.994,9,6003.775,1773.273,0.1907634245473807,15
Chile,MAR2011,March 2011,2011,3,March,Natural gas,1362.332,10,12960.784,1976.11,0.2508538830248846,15
Chile,MAR2011,March 2011,2011,3,March,Combustible renewables,308.921,11,4414.735,467.252,0.0568833679293523,15
Chile,APR2011,April 2011,2011,4,April,Hydro,1201.971,1,20937.001,7340.462,0.2378344825975951,16
Chile,APR2011,April 2011,2011,4,April,Wind,28.51,2,338.001,71.531,0.0056412851049296,16
Chile,APR2011,April 2011,2011,4,April,Coal,1528.301,8,18534.705,4906.488,0.3024055302402364,16
Chile,APR2011,April 2011,2011,4,April,Oil,676.744,9,6003.775,2521.445,0.1339076059996679,16
Chile,APR2011,April 2011,2011,4,April,Natural gas,1301.261,10,12960.784,2721.384,0.2574810346168328,16
Chile,APR2011,April 2011,2011,4,April,Combustible renewables,317.025,11,4414.735,620.078,0.0627298635703378,16
Chile,MAY2011,May 2011,2011,5,May,Hydro,1227.938,1,20937.001,9180.043,0.2300245958911936,17
Chile,MAY2011,May 2011,2011,5,May,Wind,15.68,2,338.001,86.623,0.0029372701745315,17
Chile,MAY2011,May 2011,2011,5,May,Coal,1762.526,8,18534.705,6407.243,0.3301667762523205,17
Chile,MAY2011,May 2011,2011,5,May,Oil,710.437,9,6003.775,2870.414,0.1330832532515093,17
Chile,MAY2011,May 2011,2011,5,May,Natural gas,1312.062,10,12960.784,3588.114,0.2457832002382785,17
Chile,MAY2011,May 2011,2011,5,May,Combustible renewables,309.646,11,4414.735,769.346,0.0580047168662624,17
Chile,JUN2011,June 2011,2011,6,June,Hydro,1255.332,1,20937.001,10830.008,0.2389574692054814,18
Chile,JUN2011,June 2011,2011,6,June,Wind,35.85,2,338.001,105.568,0.0068241909479058,18
Chile,JUN2011,June 2011,2011,6,June,Coal,1632.931,8,18534.705,7892.056,0.3108349497560613,18
Chile,JUN2011,June 2011,2011,6,June,Oil,809.197,9,6003.775,3623.147,0.1540338868193179,18
Chile,JUN2011,June 2011,2011,6,June,Natural gas,1195.566,10,12960.784,4407.547,0.227580771961617,18
Chile,JUN2011,June 2011,2011,6,June,Combustible renewables,324.495,11,4414.735,925.772,0.0617689216636178,18
Chile,JUL2011,July 2011,2011,7,July,Hydro,1614.138,1,20937.001,12584.012,0.3066109470125084,19
Chile,JUL2011,July 2011,2011,7,July,Wind,25.181,2,338.001,129.728,0.0047832157205406,19
Chile,JUL2011,July 2011,2011,7,July,Coal,1683.029,8,18534.705,9351.603,0.3196970243805146,19
Chile,JUL2011,July 2011,2011,7,July,Oil,387.65,9,6003.775,4614.467,0.0736354225037753,19
Chile,JUL2011,July 2011,2011,7,July,Natural gas,1183.243,10,12960.784,5177.984,0.2247609911766661,19
Chile,JUL2011,July 2011,2011,7,July,Combustible renewables,371.208,11,4414.735,1104.717,0.0705122092526285,19
Chile,AUG2011,August 2011,2011,8,August,Hydro,1960.977,1,20937.001,14082.799,0.3694389924916908,20
Chile,AUG2011,August 2011,2011,8,August,Wind,23.802,2,338.001,149.811,0.0044841866576136,20
Chile,AUG2011,August 2011,2011,8,August,Coal,1633.425,8,18534.705,10828.374,0.3077297114197362,20
Chile,AUG2011,August 2011,2011,8,August,Oil,219.314,9,6003.775,5746.337,0.0413177427370757,20
Chile,AUG2011,August 2011,2011,8,August,Natural gas,1156.392,10,12960.784,6047.727,0.2178589016625138,20
Chile,AUG2011,August 2011,2011,8,August,Combustible renewables,314.076,11,4414.735,1256.121,0.0591704650313697,20
Chile,SEP2011,September 2011,2011,9,September,Hydro,2015.396,1,20937.001,15788.377,0.4063428646200553,21
Chile,SEP2011,September 2011,2011,9,September,Wind,33.026,2,338.001,259.672,0.006658681195627,21
Chile,SEP2011,September 2011,2011,9,September,Coal,1647.196,8,18534.705,11781.455,0.3321066139015343,21
Chile,SEP2011,September 2011,2011,9,September,Oil,201.196,9,6003.775,6761.1,0.0405650100477011,21
Chile,SEP2011,September 2011,2011,9,September,Natural gas,766.425,10,12960.784,6990.336,0.1545261229140208,21
Chile,SEP2011,September 2011,2011,9,September,Combustible renewables,296.602,11,4414.735,1399.101,0.0598007073210612,21
Chile,OCT2011,October 2011,2011,10,October,Hydro,2349.763,1,20937.001,17768.037,0.440896878454236,22
Chile,OCT2011,October 2011,2011,10,October,Wind,39.512,2,338.001,283.191,0.0074138189517341,22
Chile,OCT2011,October 2011,2011,10,October,Coal,1639.95,8,18534.705,13166.906,0.3077113886894229,22
Chile,OCT2011,October 2011,2011,10,October,Oil,205.381,9,6003.775,7364.258,0.0385365850912664,22
Chile,OCT2011,October 2011,2011,10,October,Natural gas,671.769,10,12960.784,7776.466,0.1260471184295283,22
Chile,OCT2011,October 2011,2011,10,October,Combustible renewables,423.133,11,4414.735,1603.077,0.0793943980184283,22
Chile,NOV2011,November 2011,2011,11,November,Hydro,2459.934,1,20937.001,19778.647,0.4561723443103213,23
Chile,NOV2011,November 2011,2011,11,November,Wind,36.612,2,338.001,308.42,0.0067893617755149,23
Chile,NOV2011,November 2011,2011,11,November,Coal,1376.619,8,18534.705,14531.681,0.2552814491982834,23
Chile,NOV2011,November 2011,2011,11,November,Oil,288.539,9,6003.775,7534.545,0.0535069282570003,23
Chile,NOV2011,November 2011,2011,11,November,Natural gas,730.978,10,12960.784,8900.615,0.1355532091101915,23
Chile,NOV2011,November 2011,2011,11,November,Combustible renewables,499.872,11,4414.735,1844.046,0.0926967073486885,23
Chile,DEC2011,December 2011,2011,12,December,Hydro,2207.336,1,20937.001,21641.001,0.3766593439446253,24
Chile,DEC2011,December 2011,2011,12,December,Wind,22.749,2,338.001,332.001,0.0038818845048494,24
Chile,DEC2011,December 2011,2011,12,December,Coal,1640.531,8,18534.705,15974.071,0.2799398597136187,24
Chile,DEC2011,December 2011,2011,12,December,Oil,603.887,9,6003.775,8022.08,0.10304714879687,24
Chile,DEC2011,December 2011,2011,12,December,Natural gas,796.396,10,12960.784,10124.676,0.1358968434710999,24
Chile,DEC2011,December 2011,2011,12,December,Combustible renewables,589.399,11,4414.735,2128.172,0.1005749195689366,24
Chile,JAN2012,January 2012,2012,1,January,Hydro,1909.02,1,19976.999,1896.733,0.3465850024854368,25
Chile,JAN2012,January 2012,2012,1,January,Wind,27.048,2,409.0,28.383,0.0049105987088799,25
Chile,JAN2012,January 2012,2012,1,January,Coal,1791.947,8,23415.5,1356.818,0.3253302508348635,25
Chile,JAN2012,January 2012,2012,1,January,Oil,344.075,9,5678.054,335.836,0.0624672526899543,25
Chile,JAN2012,January 2012,2012,1,January,Natural gas,1181.571,10,11874.561,1267.7,0.2145157138069376,25
Chile,JAN2012,January 2012,2012,1,January,Combustible renewables,254.425,11,4485.884,327.11,0.0461911814739276,25
Chile,FEB2012,February 2012,2012,2,February,Hydro,1656.485,1,19976.999,3367.038,0.3146356575365466,26
Chile,FEB2012,February 2012,2012,2,February,Wind,37.028,2,409.0,47.281,0.0070331630695498,26
Chile,FEB2012,February 2012,2012,2,February,Coal,1811.879,8,23415.5,2573.64,0.344151465628521,26
Chile,FEB2012,February 2012,2012,2,February,Oil,481.755,9,5678.054,865.436,0.0915053871278756,26
Chile,FEB2012,February 2012,2012,2,February,Natural gas,1026.986,10,11874.561,2484.36,0.1950675166939803,26
Chile,FEB2012,February 2012,2012,2,February,Combustible renewables,250.64,11,4485.884,660.358,0.0476069998852751,26
Chile,MAR2012,March 2012,2012,3,March,Hydro,1678.313,1,19976.999,4644.216,0.2968387090384148,27
Chile,MAR2012,March 2012,2012,3,March,Wind,29.422,2,409.0,77.079,0.0052037900542558,27
Chile,MAR2012,March 2012,2012,3,March,Coal,1975.331,8,23415.5,3990.197,0.3493714843200053,27
Chile,MAR2012,March 2012,2012,3,March,Oil,566.26,9,5678.054,1901.43,0.1001528841045101,27
Chile,MAR2012,March 2012,2012,3,March,Natural gas,1138.842,10,11874.561,3846.692,0.2014239233556115,27
Chile,MAR2012,March 2012,2012,3,March,Combustible renewables,265.788,11,4485.884,969.279,0.0470092091272022,27
Chile,APR2012,April 2012,2012,4,April,Hydro,1169.701,1,19976.999,5846.187,0.2174701422692656,28
Chile,APR2012,April 2012,2012,4,April,Wind,15.325,2,409.0,105.589,0.0028492152526812,28
Chile,APR2012,April 2012,2012,4,April,Coal,1706.285,8,23415.5,5518.498,0.3172315332738143,28
Chile,APR2012,April 2012,2012,4,April,Oil,904.071,9,5678.054,2578.174,0.1680843642875548,28
Chile,APR2012,April 2012,2012,4,April,Natural gas,1238.689,10,11874.561,5147.953,0.2302963518517761,28
Chile,APR2012,April 2012,2012,4,April,Combustible renewables,344.603,11,4485.884,1286.304,0.0640683930649078,28
Chile,MAY2012,May 2012,2012,5,May,Hydro,1153.162,1,19976.999,7074.125,0.2023264092914605,29
Chile,MAY2012,May 2012,2012,5,May,Wind,36.314,2,409.0,121.269,0.006371421558298,29
Chile,MAY2012,May 2012,2012,5,May,Coal,1962.115,8,23415.5,7281.024,0.3442601148554271,29
