COUNTRY,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,yearToDate,share,periodo_id
Chile,January 2010,2010,1,January,Hydro,2277.808,21641.001,0.4764879003081534,1
Chile,January 2010,2010,1,January,Wind,21.126,332.001,0.0044192852873947,1
Chile,January 2010,2010,1,January,Coal,1287.305,15974.071,0.2692875152366606,1
Chile,January 2010,2010,1,January,Oil,382.032,8022.08,0.0799161411016751,1
Chile,January 2010,2010,1,January,Natural gas,645.119,10124.676,0.1349505304041849,1
Chile,January 2010,2010,1,January,Combustible renewables,157.687,2128.172,0.0329860758834334,1
Chile,February 2010,2010,2,February,Hydro,1741.263,21641.001,0.3961060985438645,2
Chile,February 2010,2010,2,February,Wind,15.111,332.001,0.0034374814459942,2
Chile,February 2010,2010,2,February,Coal,1200.646,15974.071,0.2731254283771588,2
Chile,February 2010,2010,2,February,Oil,884.171,8022.08,0.2011330426567539,2
Chile,February 2010,2010,2,February,Natural gas,384.781,10124.676,0.0875307754795265,2
Chile,February 2010,2010,2,February,Combustible renewables,160.646,2128.172,0.036544083407663,2
Chile,March 2010,2010,3,March,Hydro,1580.975,21641.001,0.3535800829058882,3
Chile,March 2010,2010,3,March,Wind,14.935,332.001,0.0033401657446825,3
Chile,March 2010,2010,3,March,Coal,1263.893,15974.071,0.282665691566389,3
Chile,March 2010,2010,3,March,Oil,507.07,8022.08,0.1134046095852804,3
Chile,March 2010,2010,3,March,Natural gas,946.21,10124.676,0.2116168884684328,3
Chile,March 2010,2010,3,March,Combustible renewables,148.919,2128.172,0.0333052656533227,3
Chile,April 2010,2010,4,April,Hydro,1740.416,21641.001,0.3807497796445128,4
Chile,April 2010,2010,4,April,Wind,20.359,332.001,0.0044539263967825,4
Chile,April 2010,2010,4,April,Coal,1154.644,15974.071,0.252600785425932,4
Chile,April 2010,2010,4,April,Oil,748.172,8022.08,0.1636771462318172,4
Chile,April 2010,2010,4,April,Natural gas,745.274,10124.676,0.1630431524846844,4
Chile,April 2010,2010,4,April,Combustible renewables,152.826,2128.172,0.0334336536919634,4
Chile,May 2010,2010,5,May,Hydro,1839.581,21641.001,0.3889400428650351,5
Chile,May 2010,2010,5,May,Wind,15.092,332.001,0.0031908804923072,5
Chile,May 2010,2010,5,May,Coal,1500.755,15974.071,0.3173025346695339,5
Chile,May 2010,2010,5,May,Oil,348.969,8022.08,0.0737820285263701,5
Chile,May 2010,2010,5,May,Natural gas,866.73,10124.676,0.1832515139873764,5
Chile,May 2010,2010,5,May,Combustible renewables,149.268,2128.172,0.0315595248691838,5
Chile,June 2010,2010,6,June,Hydro,1649.965,21641.001,0.3373024796551182,6
Chile,June 2010,2010,6,June,Wind,18.945,332.001,0.0038729278966924,6
Chile,June 2010,2010,6,June,Coal,1484.813,15974.071,0.3035404428119112,6
Chile,June 2010,2010,6,June,Oil,752.733,8022.08,0.1538812686440234,6
Chile,June 2010,2010,6,June,Natural gas,819.433,10124.676,0.1675167550894913,6
Chile,June 2010,2010,6,June,Combustible renewables,156.426,2128.172,0.0319781799508059,6
Chile,July 2010,2010,7,July,Hydro,1754.004,21641.001,0.3381052194922418,7
Chile,July 2010,2010,7,July,Wind,24.16,332.001,0.0046571285486991,7
Chile,July 2010,2010,7,July,Coal,1459.547,15974.071,0.2813451159713679,7
Chile,July 2010,2010,7,July,Oil,991.32,8022.08,0.1910887695735296,7
Chile,July 2010,2010,7,July,Natural gas,770.437,10124.676,0.1485109332646586,7
Chile,July 2010,2010,7,July,Combustible renewables,178.945,2128.172,0.0344937859332357,7
Chile,August 2010,2010,8,August,Hydro,1498.787,21641.001,0.2905757299692845,8
Chile,August 2010,2010,8,August,Wind,20.083,332.001,0.0038935701904094,8
Chile,August 2010,2010,8,August,Coal,1476.771,15974.071,0.2863074014669665,8
Chile,August 2010,2010,8,August,Oil,1131.87,8022.08,0.2194400882048844,8
Chile,August 2010,2010,8,August,Natural gas,869.743,10124.676,0.1686204958480928,8
Chile,August 2010,2010,8,August,Combustible renewables,151.404,2128.172,0.0293532889064754,8
Chile,September 2010,2010,9,September,Hydro,1705.578,21641.001,0.3496322930258158,9
Chile,September 2010,2010,9,September,Wind,109.861,332.001,0.0225207837718997,9
Chile,September 2010,2010,9,September,Coal,953.081,15974.071,0.1953753481044769,9
Chile,September 2010,2010,9,September,Oil,1014.763,8022.08,0.2080197531674048,9
Chile,September 2010,2010,9,September,Natural gas,942.609,10124.676,0.1932286568522643,9
Chile,September 2010,2010,9,September,Combustible renewables,142.98,2128.172,0.0293099613484878,9
Chile,October 2010,2010,10,October,Hydro,1979.66,21641.001,0.3966278438893194,10
Chile,October 2010,2010,10,October,Wind,23.519,332.001,0.0047120668500817,10
Chile,October 2010,2010,10,October,Coal,1385.451,15974.071,0.2775771814070605,10
Chile,October 2010,2010,10,October,Oil,603.158,8022.08,0.1208436080259206,10
Chile,October 2010,2010,10,October,Natural gas,786.13,10124.676,0.1575023220738463,10
Chile,October 2010,2010,10,October,Combustible renewables,203.976,2128.172,0.0408668968838931,10
Chile,November 2010,2010,11,November,Hydro,2010.61,21641.001,0.4065655171632844,11
Chile,November 2010,2010,11,November,Wind,25.229,332.001,0.0051015569566014,11
Chile,November 2010,2010,11,November,Coal,1364.775,15974.071,0.2759711996292276,11
Chile,November 2010,2010,11,November,Oil,170.287,8022.08,0.0344337401192594,11
Chile,November 2010,2010,11,November,Natural gas,1124.149,10124.676,0.2273142079038644,11
Chile,November 2010,2010,11,November,Combustible renewables,240.969,2128.172,0.048726349767145,11
Chile,December 2010,2010,12,December,Hydro,1862.354,21641.001,0.3491882541299787,12
Chile,December 2010,2010,12,December,Wind,23.581,332.001,0.0044213979837555,12
Chile,December 2010,2010,12,December,Coal,1442.39,15974.071,0.2704457078914857,12
Chile,December 2010,2010,12,December,Oil,487.535,8022.08,0.0914119955052901,12
Chile,December 2010,2010,12,December,Natural gas,1224.061,10124.676,0.2295093862598602,12
Chile,December 2010,2010,12,December,Combustible renewables,284.126,2128.172,0.0532731488712319,12
Chile,January 2011,2011,1,January,Hydro,1896.733,20937.001,0.3638760460271113,13
